stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
208,,"JEFFERSON BLVD/DUQUESNE AVE",,  34.017063,-118.387680,,,0
209,,"JEFFERSON BLVD/HOLDREGE AVE",,  34.021012,-118.378521,,,0
21,,"WASHINGTON BLVD/INGLEWOOD BLVD",,  33.997527,-118.422263,,,0
210,,"RODEO RD/KALSMAN DR",,  34.021715,-118.374809,,,0
211,,"LA CIENEGA BLVD/RODEO RD",,  34.022237,-118.372179,,,0
212,,"LA CIENEGA BLVD/CLEMSON ST",,  34.024085,-118.372086,,,0
213,,"LA CIENEGA BLVD/JEFFERSON BL (EXPO)",,  34.026985,-118.371927,,,0
214,,"FAIRFAX AVE /ADAMS BLVD",,  34.032757,-118.370507,,,0
215,,"ELECTRIC DR/FAIRFAX AVE",,  34.035564,-118.368526,,,0
216,,"FAIRFAX AVE/ADAMS BLVD",,  34.032633,-118.370807,,,0
217,,"LA CIENEGA BLVD/JEFFERSON BL (EXPO)",,  34.025977,-118.372254,,,0
218,,"LA CIENEGA BLVD/CLEMSON ST",,  34.024556,-118.372343,,,0
219,,"RODEO RD/KALSMAN DR",,  34.021902,-118.373950,,,0
22,,"WASHINGTON BLVD/KENSINGTON RD",,  33.998044,-118.419511,,,0
220,,"JEFFERSON BLVD/DUQUESNE AVE",,  34.016521,-118.388262,,,0
221,,"JEFFERSON BLVD/LEAHY ST",,  34.013403,-118.388967,,,0
222,,"JEFFERSON BLVD/RAINTREE CIR",,  34.009822,-118.390797,,,0
223,,"JEFFERSON BLVD/INDIAN WOOD RD",,  34.006475,-118.392454,,,0
224,,"JEFFERSON BLVD/OVERLAND AVE",,  34.003789,-118.393808,,,0
225,,"JEFFERSON BLVD/COTA ST",,  33.999715,-118.395653,,,0
226,,"JEFFERSON BLVD/BALLONA LN",,  33.998464,-118.395673,,,0
227,,"JEFFERSON BLVD/MACHADO RD",,  33.996838,-118.395574,,,0
228,,"SEPULVEDA BLVD/SAWTELLE BLVD",,  33.994685,-118.395497,,,0
229,,"SEPULVEDA BLVD/BERRYMAN AVE",,  33.992512,-118.395416,,,0
23,,"WASHINGTON BLVD/BERRYMAN AVE",,  34.001162,-118.416134,,,0
