stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
E507,,"El Segundo Bl & Ramona Ave",,  33.916295,-118.357003,,,0,
E508,,"El Segundo Bl & Hawthorne Bl",,  33.916349,-118.352112,,,0,
E509,,"El Segundo Bl & Washington Ave",,  33.916375,-118.349705,,,0,
E510,,"El Segundo Bl & Jefferson Ave",,  33.916356,-118.347221,,,0,
E511,,"El Segundo Bl & Prarie Ave",,  33.916365,-118.343468,,,0,
E512,,"El Segundo Bl & Doty Ave",,  33.916363,-118.339311,,,0,
E513,,"El Segundo Bl & Yukon Ave",,  33.916364,-118.335491,,,0,
E514,,"El Segundo Bl & Cerise Ave",,  33.916381,-118.332192,,,0,
E515,,"El Segundo Bl & Chadron Ave",,  33.916362,-118.329329,,,0,
E516,,"El Segundo Bl & Crenshaw Bl",,  33.916390,-118.326174,,,0,
E517,,"El Segundo Bl & Wilkie Ave",,  33.916442,-118.322693,,,0,
E518,,"El Segundo Bl & Purche Ave",,  33.916452,-118.320125,,,0,
E519,,"El Segundo Bl & Van Ness Ave",,  33.916412,-118.317443,,,0,
E520,,"El Segundo Bl & Wilton Pl",,  33.916416,-118.313342,,,0,
E521,,"El Segundo Bl & Western Ave",,  33.916377,-118.308635,,,0,
E522,,"El Segundo Bl & Harvard Bl",,  33.916398,-118.306658,,,0,
E523,,"El Segundo Bl & Denker Ave",,  33.916417,-118.304778,,,0,
E524,,"El Segundo Bl & Halldale Ave",,  33.916420,-118.302629,,,0,
E525,,"El Segundo Bl & Normandie Ave",,  33.916418,-118.300763,,,0,
E526,,"El Segundo Bl & Budlong Ave",,  33.916354,-118.296574,,,0,
E527,,"El Segundo Bl & Vermont Ave",,  33.916422,-118.292258,,,0,
E528,,"El Segundo Bl & Hoover St",,  33.916353,-118.287198,,,0,
E529,,"El Segundo Bl & Figueroa St",,  33.916360,-118.282289,,,0,
E530,,"El Segundo Bl & Broadway",,  33.916356,-118.277847,,,0,
E531,,"El Segundo Bl & Main St",,  33.916354,-118.274390,,,0,
E532,,"El Segundo Bl & San Pedro St",,  33.916405,-118.269941,,,0,
E533,,"El Segundo Bl & Avalon Bl",,  33.916413,-118.264734,,,0,
E534,,"El Segundo Bl & McKinley Ave",,  33.916328,-118.261201,,,0,
E535,,"El Segundo Bl & Keene Ave",,  33.916309,-118.257200,,,0,
E536,,"El Segundo Bl & Central Ave",,  33.916301,-118.254247,,,0,
E537,,"El Segundo Bl & Slater Ave",,  33.916253,-118.249100,,,0,
E538,,"Compton Bl & El Segundo Bl",,  33.916516,-118.246159,,,0,
E539,,"Compton Bl & 124th St",,  33.919692,-118.246211,,,0,
E540,,"120th St & Compton Bl",,  33.923853,-118.245693,,,0,
E542,,"Wilmington Ave & 120th St",,  33.925159,-118.238998,,,0,
E543,,"Wilmington Ave & 118th St",,  33.925849,-118.238990,,,0,
E544,,"Imperial Rosa Parks Station",,  33.928821,-118.238375,,,0,
N1X00,,"Marine Ave & Redondo Beach Station",,  33.894627,-118.369755,,,0,
N1X01,,"Marine Ave & Inglewood Av",,  33.894578,-118.361685,,,0,
N1x02,,"Marine Ave & Firmona Av",,  33.894585,-118.356105,,,0,
N1X03,,"Marine Ave & Hawthorne Bl",,  33.894626,-118.352120,,,0,
N1X04,,"Marine Ave & Freeman Ave",,  33.894609,-118.349148,,,0,
N1X05,,"Marine Ave & Prarie Ave",,  33.894602,-118.343300,,,0,
N1X06,,"Marine Ave & Doty Ave",,  33.894643,-118.339005,,,0,
N1X07,,"Marine Ave & Cranbrook Ave",,  33.894602,-118.336337,,,0,
N1X08,,"Marine Ave & Lemoli Ave",,  33.894659,-118.330574,,,0,
N1X09,,"Marine Ave & Crenshaw Bl",,  33.894632,-118.326833,,,0,
N1X10,,"Marine Ave & Miller Ave",,  33.894639,-118.324271,,,0,
N1X11,,"Marine Ave & Casmir Ave",,  33.894637,-118.321919,,,0,
