stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
4431,14431,DIVISADERO ST & OAK ST, ,37.773185,-122.43735, , 
4432,14432,DIVISADERO ST & OAK ST, ,37.773051,-122.437487, , 
4433,14433,DIVISADERO ST & PINE ST, ,37.786997,-122.440317, , 
4434,14434,DIVISADERO ST & SUTTER ST, ,37.785338,-122.439813, , 
4435,14435,DIVISADERO ST & SUTTER ST, ,37.78515,-122.439939, , 
4436,14436,DIVISION ST & BRYANT ST, ,37.76934,-122.41074, , 
4437,14437,DIVISION ST & RHODE ISLAND ST, ,37.76976,-122.403152, , 
4438,14438,DIVISION ST & TOWNSEND ST, ,37.769894,-122.403301, , 
4439,14439,DELTA ST & TIOGA AVE, ,37.71729,-122.40773, , 
4440,14440,DONAHUE ST & INNES AVE, ,37.729002,-122.369913, , 
4441,14441,DAWNVIEW WAY & BURNETT AVE, ,37.747925,-122.44511, , 
4442,14442,DAWNVIEW WAY & GLENVIEW DR, ,37.748033,-122.447539, , 
4443,14443,DOUGLASS ST & 24TH ST, ,37.75112,-122.43854, , 
4444,14444,DOUGLASS ST & ALVARADO ST, ,37.75352,-122.43875, , 
4445,14445,DRUMM ST & CALIFORNIA ST, ,37.79398,-122.39635, , 
4447,14447,DUBOCE AVE & CHURCH ST, ,37.769472,-122.429408, , 
4448,14448,DUBOCE AVE & CHURCH ST, ,37.769409,-122.4294, , 
4451,14451,DUBOCE AVE & NOE ST, ,37.76911,-122.4337, , 
4453,14453,DUNCAN ST & AMBER DR, ,37.7452,-122.44141, , 
4454,14454,DUNCAN ST & CAMEO WAY, ,37.74519,-122.44304, , 
4455,14455,DUNCAN ST & DIAMOND HEIGHTS BLVD, ,37.74526,-122.44029, , 
4456,14456,EARL ST & KIRKWOOD AVE, ,37.728779,-122.37313, , 
4457,14457,EUCLID AVE & ARGUELLO BLVD, ,37.78389,-122.45885, , 
4458,14458,EUCLID AVE & COLLINS ST, ,37.78462,-122.4499, , 
4459,14459,EUCLID AVE & COLLINS ST, ,37.78437,-122.45027, , 
4460,14460,EUCLID AVE & IRIS AVE, ,37.78421,-122.45174, , 
4461,14461,EUCLID AVE & IRIS AVE, ,37.78402,-122.45195, , 
4462,14462,EUCLID AVE & JORDAN AVE, ,37.78399,-122.45666, , 
4463,14463,EUCLID AVE & JORDAN AVE, ,37.78386,-122.45696, , 
4464,14464,EUCLID AVE & MASONIC AVE, ,37.78499,-122.44827, , 
4465,14465,EUCLID AVE & PRESIDIO AVE, ,37.78538,-122.44672, , 
4466,14466,EUCLID AVE & PRESIDIO AVE, ,37.78524,-122.44664, , 
4467,14467,EUCLID AVE & PARKER AVE, ,37.78412,-122.45449, , 
4468,14468,EUCLID AVE & PARKER AVE, ,37.78396,-122.45475, , 
4469,14469,EUCLID AVE & SPRUCE ST, ,37.78411,-122.45351, , 
4470,14470,EUCLID AVE & SPRUCE ST, ,37.78396,-122.45374, , 
4472,14472,EDDY ST & BUCHANAN ST, ,37.781919,-122.428946, , 
4473,14473,EDDY ST & BUCHANAN ST, ,37.781767,-122.429141, , 
4474,14474,EDDY ST & DIVISADERO ST, ,37.780546,-122.438759, , 
4475,14475,EDDY ST & FILLMORE ST, ,37.7815,-122.432236, , 
4476,14476,EDDY ST & FILLMORE ST, ,37.781348,-122.432431, , 
4477,14477,EDDY ST & GOUGH ST, ,37.782516,-122.42427, , 
4478,14478,EDDY ST & GOUGH ST, ,37.7824,-122.424201, , 
4479,14479,EDDY ST & HYDE ST, ,37.783478,-122.415718, , 
4480,14480,EDDY ST & JONES ST, ,37.783887,-122.412428, , 
4481,14481,EDDY ST & LARKIN ST, ,37.783353,-122.41769, , 
4482,14482,EDDY ST & LARKIN ST, ,37.783273,-122.417357, , 
4483,14483,EDDY ST & LEAVENWORTH ST, ,37.783682,-122.414079, , 
4484,14484,EDDY ST & LAGUNA ST, ,37.782133,-122.427296, , 
4485,14485,EDDY ST & LAGUNA ST, ,37.782017,-122.427227, , 
4486,14486,EDDY ST & MASON ST, ,37.78427,-122.409402, , 
4487,14487,EDDY ST & PIERCE ST, ,37.781081,-122.435515, , 
4488,14488,EDDY ST & PIERCE ST, ,37.780929,-122.435709, , 
4489,14489,EDDY ST & POLK ST, ,37.783184,-122.419042, , 
4490,14490,EDDY ST & POLK ST, ,37.783059,-122.419019, , 
