Name,Latitude,Longitude
15TH AVE & NORIEGA ST,37.75411,-122.47217
15TH AVE & ORTEGA ST,37.75268,-122.47206
15TH AVE & PACHECO ST,37.75081,-122.47196
15TH AVE & QUINTARA ST,37.74891,-122.47183
15TH AVE & TARAVAL ST,37.743124,-122.471297
15TH AVE & TARAVAL ST,37.743069,-122.471405
15TH AVE & ULLOA ST,37.741525,-122.471192
15TH AVE & ULLOA ST,37.741484,-122.4713
15TH AVE & WEST PORTAL AVE,37.736387,-122.470381
15TH ST & MISSION ST,37.76668,-122.42016
16TH AVE & LAWTON ST,37.75811,-122.47367
16TH AVE & LAWTON ST,37.7593,-122.4737
16TH AVE & LOMITA AVE,37.75697,-122.47351
16TH AVE & MORAGA ST,37.7563,-122.47361
16TH AVE & MORAGA ST,37.75636,-122.47368
16TH AVE & NORIEGA ST,37.75425,-122.47321
16TH AVE & ORTEGA ST,37.7524,-122.47309
16TH AVE & PACHECO ST,37.75054,-122.47295
16TH ST & BRYANT ST,37.765658,-122.410294
16TH ST & BRYANT ST,37.765595,-122.410408
16TH ST & CHURCH ST,37.764579,-122.428523
16TH ST & DOLORES ST,37.764731,-122.426156
16TH ST & DOLORES ST,37.764575,-122.426579
16TH ST & GUERRERO ST,37.764853,-122.423959
16TH ST & GUERRERO ST,37.76472,-122.424256
16TH ST & HARRISON ST,37.765523,-122.412976
16TH ST & HARRISON ST,37.765377,-122.41329
16TH ST & KANSAS ST,37.765938,-122.403802
16TH ST & MISSION ST,37.765143,-122.4196
16TH ST & MISSION ST,37.76502,-122.41928
16TH ST & MISSION ST,37.764983,-122.419835
16TH ST & POTRERO AVE,37.7658,-122.407624
16TH ST & POTRERO AVE,37.765764,-122.407612
16TH ST & SAN BRUNO AVE,37.765861,-122.405515
16TH ST & SHOTWELL ST,37.765374,-122.415428
16TH ST & SHOTWELL ST,37.765218,-122.416048
16TH ST & VALENCIA ST,37.764987,-122.421746
16TH ST & VALENCIA ST,37.764849,-122.422056
16TH ST & VERMONT ST,37.766039,-122.40469
16TH ST & MISSION ST,37.76513,-122.4195
17TH AVE & RIVERA ST,37.74698,-122.47391
17TH AVE & RIVERA ST,37.746745,-122.473707
17TH AVE & SANTIAGO ST,37.74511,-122.47374
17TH ST & BELVEDERE ST,37.76176,-122.44768
CHURCH ST & 18TH ST,37.76281,-122.4285
17TH ST & CLAYTON ST,37.761854,-122.446702
17TH ST & COLE ST,37.76168,-122.44898
17TH ST & CASTRO ST,37.762576,-122.434979
17TH ST & DE HARO ST,37.764904,-122.401451
17TH ST & DE HARO ST,37.764771,-122.401711
17TH ST & DIAMOND ST,37.762415,-122.437489
17TH ST & KANSAS ST,37.764808,-122.403659
17TH ST & KANSAS ST,37.764817,-122.403441
17TH ST & KANSAS ST,37.764727,-122.403544
17TH ST & NOE ST,37.762645,-122.432991
17TH ST & WISCONSIN ST,37.764991,-122.399982
17TH ST & WISCONSIN ST,37.764929,-122.399284
18TH ST & 3RD ST,37.762992,-122.388925
18TH ST & CHURCH ST,37.76137,-122.428195
18TH ST & CHURCH ST,37.761245,-122.428138
18TH ST & CONNECTICUT ST,37.76258,-122.397352
18TH ST & CASTRO ST,37.760952,-122.435151
18TH ST & CASTRO ST,37.760845,-122.434842
18TH ST & DANVERS ST,37.760355,-122.44354
18TH ST & DANVERS ST,37.76024,-122.44349
18TH ST & DIAMOND ST,37.760702,-122.437294
18TH ST & DOLORES ST,37.761486,-122.426236
18TH ST & DOLORES ST,37.761388,-122.425927
18TH ST & EUREKA ST,37.760765,-122.438154
18TH ST & GUERRERO ST,37.761619,-122.423955
18TH ST & GUERRERO ST,37.761521,-122.423646
18TH ST & HATTIE ST,37.760586,-122.441087
18TH ST & HATTIE ST,37.760488,-122.440778
18TH ST & MINNESOTA ST,37.762874,-122.390848
18TH ST & MISSION ST,37.761895,-122.419509
18TH ST & MARKET ST,37.759792,-122.444445
18TH ST & NOE ST,37.761094,-122.432688
18TH ST & NOE ST,37.76096,-122.432905
18TH ST & PENNSYLVANIA AVE,37.762828,-122.393471
18TH ST & PENNSYLVANIA AVE,37.762732,-122.39322
18TH ST & SANCHEZ ST,37.761228,-122.430464
18TH ST & SANCHEZ ST,37.761094,-122.430682
18TH ST & TEXAS ST,37.762701,-122.395422
18TH ST & TEXAS ST,37.762621,-122.39516
18TH ST & VALENCIA ST,37.761762,-122.421732
18TH ST & VALENCIA ST,37.761663,-122.421423
19TH AVE & BANBURY DR,37.71953,-122.47458
19TH AVE & BUCKINGHAM WAY,37.725732,-122.475063
19TH AVE & CRESPI DR,37.719691,-122.4749
19TH AVE & EUCALYPTUS DR,37.731175,-122.474962
19TH AVE & EUCALYPTUS DR,37.73097,-122.47472
19TH AVE & HOLLOWAY AVE,37.72111,-122.475302
19TH AVE & HOLLOWAY AVE,37.72094,-122.475004
19TH AVE & HOLLOWAY AVE,37.721074,-122.475233
19TH AVE & IRVING ST,37.76368,-122.47731
19TH AVE & IRVING ST,37.76343,-122.47704
19TH AVE & JUNIPERO SERRA BLVD,37.716889,-122.472275
19TH AVE & JUNIPERO SERRA BLVD,37.71805,-122.47318
19TH AVE & JUNIPERO SERRA BLVD,37.717323,-122.47297
19TH AVE & JUDAH ST,37.76158,-122.47687
19TH AVE & JUDAH ST,37.7614,-122.47711
19TH AVE & KIRKHAM ST,37.76015,-122.47671
19TH AVE & KIRKHAM ST,37.75995,-122.47695
