"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","incomelevels","stoplevels","distance","number_of_stops"
"11","94114",30574,"17325","1.83",672300,75727,37.758232,-122.436161,"SANFRANCISCO"," 22,561 "," 5,203 "," 5,203 "," 5,203 "," 14,515 ",12.15,"$60K-$80K","151-175","within1km",162
"12","94115",33115,"18422","1.85",1000001,54879,37.785588,-122.435657,"SANFRANCISCO"," 29,631 "," 4,201 "," 4,201 "," 4,201 "," 12,212 ",9.88,"$40K-$60K","126-150","within1km",149
"13","94116",42958,"15537","2.83",395000,66627,37.744303,-122.482485,"SANFRANCISCO"," 16,847 "," 6,461 "," 6,461 "," 6,461 "," 19,999 ",14.89,"$60K-$80K","76-100","within1km",77
"14","94117",38738,"18831","1.97",765400,63983,37.770051,-122.441408,"SANFRANCISCO"," 27,564 "," 4,800 "," 4,800 "," 4,800 "," 13,213 ",10.84,"$60K-$80K","176-200","within1km",175
"15","94118",38939,"17986","2.23",704200,61609,37.781735,-122.459432,"SANFRANCISCO"," 21,793 "," 5,127 "," 5,127 "," 5,127 "," 14,937 ",11.72,"$60K-$80K","101-125","within1km",123
"16","94121",42473,"18026","2.43",484500,61776,37.778784,-122.490857,"SANFRANCISCO"," 14,341 "," 5,403 "," 5,403 "," 5,403 "," 16,585 ",12.7,"$60K-$80K","101-125","within1km",108
"17","94122",55492,"22255","2.56",410000,60733,37.761523,-122.480944,"SANFRANCISCO"," 17,974 "," 5,773 "," 5,773 "," 5,773 "," 16,899 ",12.81,"$60K-$80K","76-100","within1km",94
"18","94123",22903,"14851","1.61",1000001,84710,37.800078,-122.434904,"SANFRANCISCO"," 22,890 "," 4,518 "," 4,518 "," 4,518 "," 14,120 ",12.33,"$80K-$100K","126-150","within1km",132
"19","94124",33170,"9583","3.51",254100,37146,37.733639,-122.390267,"SANFRANCISCO"," 6,856 "," 6,218 "," 6,218 "," 6,218 "," 15,969 ",11.03,"$0-$40K","176-200","within1km",180
"20","94127",20624,"7841","2.54",554400,95313,37.735398,-122.458115,"SANFRANCISCO"," 10,994 "," 7,718 "," 7,718 "," 7,718 "," 23,055 ",18.01,"$80K-$100K","101-125","within1km",104
"21","94129",2228,"1102","2.77",1000001,73571,37.796987,-122.462741,"SANFRANCISCO","940"," 6,666 "," 6,666 "," 6,666 "," 21,429 ",16.08,"$60K-$80K","26-50","within1km",48
"22","94130",1453,"1012","2.71",0,80959,37.820921,-122.368742,"SANFRANCISCO"," 1,613 "," 6,269 "," 6,269 "," 6,269 "," 15,931 ",13.05,"$80K-$100K","26-50","within1km",32
"23","94131",27897,"14308","2.01",489500,76044,37.743821,-122.440008,"SANFRANCISCO"," 13,032 "," 5,672 "," 5,672 "," 5,672 "," 18,662 ",14.66,"$60K-$80K","126-150","within1km",136
"24","94132",26291,"10180","2.51",408100,55000,37.723071,-122.478381,"SANFRANCISCO"," 7,371 "," 5,632 "," 5,632 "," 5,632 "," 17,902 ",13.21,"$40K-$60K","101-125","within1km",113
"25","94133",26827,"14714","1.97",937500,40990,37.800497,-122.409117,"SANFRANCISCO"," 39,894 "," 3,747 "," 3,747 "," 3,747 "," 8,641 ",7.08,"$40K-$60K","200+","within1km",249
"26","94134",40134,"11001","3.71",287600,54342,37.720541,-122.408801,"SANFRANCISCO"," 17,204 "," 6,446 "," 6,446 "," 6,446 "," 20,459 ",14.45,"$40K-$60K","126-150","within1km",125
"27","94102",28991,"17339","1.69",439600,22351,37.779805,-122.417362,"SANFRANCISCO"," 44,408 "," 2,984 "," 2,984 "," 2,984 "," 6,428 ",5.04,"$0-$40K","200+","within2km",860
"28","94103",23016,"10093","2.04",386400,31131,37.773969,-122.410448,"SANFRANCISCO"," 17,319 "," 3,501 "," 3,501 "," 3,501 "," 7,970 ",6.25,"$0-$40K","176-200","within2km",755
"29","94104",374,"283","1.8",625000,14609,37.791257,-122.400811,"SANFRANCISCO"," 4,624 "," 2,604 "," 2,604 "," 2,604 "," 5,959 ",4.35,"$0-$40K","200+","within2km",788
"30","94105",2058,"1473","1.41",387700,88976,37.788462,-122.394608,"SANFRANCISCO"," 6,073 "," 3,611 "," 3,611 "," 3,611 "," 13,042 ",11.88,"$80K-$100K","200+","within2km",605
"31","94107",17368,"9816","1.82",506700,61362,37.7757,-122.3952,"SANFRANCISCO"," 7,060 "," 4,380 "," 4,380 "," 4,380 "," 13,651 ",11.03,"$60K-$80K","101-125","within2km",577
"32","94108",13716,"8361","1.78",828900,31542,37.79203,-122.406849,"SANFRANCISCO"," 52,649 "," 3,194 "," 3,194 "," 3,194 "," 6,881 ",5.67,"$0-$40K","200+","within2km",878
"33","94109",56322,"35891","1.64",663600,43444,37.793547,-122.419329,"SANFRANCISCO"," 45,974 "," 3,567 "," 3,567 "," 3,567 "," 8,323 ",7.08,"$40K-$60K","200+","within2km",887
"34","94110",74633,"26918","2.81",361700,53795,37.748423,-122.413671,"SANFRANCISCO"," 31,503 "," 5,250 "," 5,250 "," 5,250 "," 12,697 ",9.88,"$40K-$60K","126-150","within2km",560
"35","94111",3335,"2727","1.45",585900,56569,37.797476,-122.399089,"SANFRANCISCO"," 6,601 "," 3,449 "," 3,449 "," 3,449 "," 9,466 ",8.37,"$40K-$60K","200+","within2km",632
"36","94112",73104,"20652","3.59",317700,57629,37.720114,-122.440383,"SANFRANCISCO"," 22,259 "," 6,608 "," 6,608 "," 6,608 "," 19,082 ",13.76,"$40K-$60K","151-175","within2km",423
"37","94114",30574,"17325","1.83",672300,75727,37.758232,-122.436161,"SANFRANCISCO"," 22,561 "," 5,203 "," 5,203 "," 5,203 "," 14,515 ",12.15,"$60K-$80K","151-175","within2km",571
"38","94115",33115,"18422","1.85",1000001,54879,37.785588,-122.435657,"SANFRANCISCO"," 29,631 "," 4,201 "," 4,201 "," 4,201 "," 12,212 ",9.88,"$40K-$60K","126-150","within2km",670
"39","94116",42958,"15537","2.83",395000,66627,37.744303,-122.482485,"SANFRANCISCO"," 16,847 "," 6,461 "," 6,461 "," 6,461 "," 19,999 ",14.89,"$60K-$80K","76-100","within2km",378
"40","94117",38738,"18831","1.97",765400,63983,37.770051,-122.441408,"SANFRANCISCO"," 27,564 "," 4,800 "," 4,800 "," 4,800 "," 13,213 ",10.84,"$60K-$80K","176-200","within2km",573
"41","94118",38939,"17986","2.23",704200,61609,37.781735,-122.459432,"SANFRANCISCO"," 21,793 "," 5,127 "," 5,127 "," 5,127 "," 14,937 ",11.72,"$60K-$80K","101-125","within2km",410
"42","94121",42473,"18026","2.43",484500,61776,37.778784,-122.490857,"SANFRANCISCO"," 14,341 "," 5,403 "," 5,403 "," 5,403 "," 16,585 ",12.7,"$60K-$80K","101-125","within2km",276
"43","94122",55492,"22255","2.56",410000,60733,37.761523,-122.480944,"SANFRANCISCO"," 17,974 "," 5,773 "," 5,773 "," 5,773 "," 16,899 ",12.81,"$60K-$80K","76-100","within2km",359
"44","94123",22903,"14851","1.61",1000001,84710,37.800078,-122.434904,"SANFRANCISCO"," 22,890 "," 4,518 "," 4,518 "," 4,518 "," 14,120 ",12.33,"$80K-$100K","126-150","within2km",478
"45","94124",33170,"9583","3.51",254100,37146,37.733639,-122.390267,"SANFRANCISCO"," 6,856 "," 6,218 "," 6,218 "," 6,218 "," 15,969 ",11.03,"$0-$40K","176-200","within2km",393
"46","94127",20624,"7841","2.54",554400,95313,37.735398,-122.458115,"SANFRANCISCO"," 10,994 "," 7,718 "," 7,718 "," 7,718 "," 23,055 ",18.01,"$80K-$100K","101-125","within2km",475
"47","94129",2228,"1102","2.77",1000001,73571,37.796987,-122.462741,"SANFRANCISCO","940"," 6,666 "," 6,666 "," 6,666 "," 21,429 ",16.08,"$60K-$80K","26-50","within2km",227
"48","94130",1453,"1012","2.71",0,80959,37.820921,-122.368742,"SANFRANCISCO"," 1,613 "," 6,269 "," 6,269 "," 6,269 "," 15,931 ",13.05,"$80K-$100K","26-50","within2km",43
"49","94131",27897,"14308","2.01",489500,76044,37.743821,-122.440008,"SANFRANCISCO"," 13,032 "," 5,672 "," 5,672 "," 5,672 "," 18,662 ",14.66,"$60K-$80K","126-150","within2km",491
"50","94132",26291,"10180","2.51",408100,55000,37.723071,-122.478381,"SANFRANCISCO"," 7,371 "," 5,632 "," 5,632 "," 5,632 "," 17,902 ",13.21,"$40K-$60K","101-125","within2km",298
"51","94133",26827,"14714","1.97",937500,40990,37.800497,-122.409117,"SANFRANCISCO"," 39,894 "," 3,747 "," 3,747 "," 3,747 "," 8,641 ",7.08,"$40K-$60K","200+","within2km",724
"52","94134",40134,"11001","3.71",287600,54342,37.720541,-122.408801,"SANFRANCISCO"," 17,204 "," 6,446 "," 6,446 "," 6,446 "," 20,459 ",14.45,"$40K-$60K","126-150","within2km",440
"53","94102",28991,"17339","1.69",439600,22351,37.779805,-122.417362,"SANFRANCISCO"," 44,408 "," 2,984 "," 2,984 "," 2,984 "," 6,428 ",5.04,"$0-$40K","200+","within3km",1678
"54","94103",23016,"10093","2.04",386400,31131,37.773969,-122.410448,"SANFRANCISCO"," 17,319 "," 3,501 "," 3,501 "," 3,501 "," 7,970 ",6.25,"$0-$40K","176-200","within3km",1578
"55","94104",374,"283","1.8",625000,14609,37.791257,-122.400811,"SANFRANCISCO"," 4,624 "," 2,604 "," 2,604 "," 2,604 "," 5,959 ",4.35,"$0-$40K","200+","within3km",1161
"56","94105",2058,"1473","1.41",387700,88976,37.788462,-122.394608,"SANFRANCISCO"," 6,073 "," 3,611 "," 3,611 "," 3,611 "," 13,042 ",11.88,"$80K-$100K","200+","within3km",1075
"57","94107",17368,"9816","1.82",506700,61362,37.7757,-122.3952,"SANFRANCISCO"," 7,060 "," 4,380 "," 4,380 "," 4,380 "," 13,651 ",11.03,"$60K-$80K","101-125","within3km",1175
"58","94108",13716,"8361","1.78",828900,31542,37.79203,-122.406849,"SANFRANCISCO"," 52,649 "," 3,194 "," 3,194 "," 3,194 "," 6,881 ",5.67,"$0-$40K","200+","within3km",1249
"59","94109",56322,"35891","1.64",663600,43444,37.793547,-122.419329,"SANFRANCISCO"," 45,974 "," 3,567 "," 3,567 "," 3,567 "," 8,323 ",7.08,"$40K-$60K","200+","within3km",1385
"60","94110",74633,"26918","2.81",361700,53795,37.748423,-122.413671,"SANFRANCISCO"," 31,503 "," 5,250 "," 5,250 "," 5,250 "," 12,697 ",9.88,"$40K-$60K","126-150","within3km",1242
"61","94111",3335,"2727","1.45",585900,56569,37.797476,-122.399089,"SANFRANCISCO"," 6,601 "," 3,449 "," 3,449 "," 3,449 "," 9,466 ",8.37,"$40K-$60K","200+","within3km",980
"62","94112",73104,"20652","3.59",317700,57629,37.720114,-122.440383,"SANFRANCISCO"," 22,259 "," 6,608 "," 6,608 "," 6,608 "," 19,082 ",13.76,"$40K-$60K","151-175","within3km",831
"63","94114",30574,"17325","1.83",672300,75727,37.758232,-122.436161,"SANFRANCISCO"," 22,561 "," 5,203 "," 5,203 "," 5,203 "," 14,515 ",12.15,"$60K-$80K","151-175","within3km",1270
"64","94115",33115,"18422","1.85",1000001,54879,37.785588,-122.435657,"SANFRANCISCO"," 29,631 "," 4,201 "," 4,201 "," 4,201 "," 12,212 ",9.88,"$40K-$60K","126-150","within3km",1463
"65","94116",42958,"15537","2.83",395000,66627,37.744303,-122.482485,"SANFRANCISCO"," 16,847 "," 6,461 "," 6,461 "," 6,461 "," 19,999 ",14.89,"$60K-$80K","76-100","within3km",756
"66","94117",38738,"18831","1.97",765400,63983,37.770051,-122.441408,"SANFRANCISCO"," 27,564 "," 4,800 "," 4,800 "," 4,800 "," 13,213 ",10.84,"$60K-$80K","176-200","within3km",1287
"67","94118",38939,"17986","2.23",704200,61609,37.781735,-122.459432,"SANFRANCISCO"," 21,793 "," 5,127 "," 5,127 "," 5,127 "," 14,937 ",11.72,"$60K-$80K","101-125","within3km",951
"68","94121",42473,"18026","2.43",484500,61776,37.778784,-122.490857,"SANFRANCISCO"," 14,341 "," 5,403 "," 5,403 "," 5,403 "," 16,585 ",12.7,"$60K-$80K","101-125","within3km",521
"69","94122",55492,"22255","2.56",410000,60733,37.761523,-122.480944,"SANFRANCISCO"," 17,974 "," 5,773 "," 5,773 "," 5,773 "," 16,899 ",12.81,"$60K-$80K","76-100","within3km",866
"70","94123",22903,"14851","1.61",1000001,84710,37.800078,-122.434904,"SANFRANCISCO"," 22,890 "," 4,518 "," 4,518 "," 4,518 "," 14,120 ",12.33,"$80K-$100K","126-150","within3km",1016
"71","94124",33170,"9583","3.51",254100,37146,37.733639,-122.390267,"SANFRANCISCO"," 6,856 "," 6,218 "," 6,218 "," 6,218 "," 15,969 ",11.03,"$0-$40K","176-200","within3km",778
"72","94127",20624,"7841","2.54",554400,95313,37.735398,-122.458115,"SANFRANCISCO"," 10,994 "," 7,718 "," 7,718 "," 7,718 "," 23,055 ",18.01,"$80K-$100K","101-125","within3km",1032
"73","94129",2228,"1102","2.77",1000001,73571,37.796987,-122.462741,"SANFRANCISCO","940"," 6,666 "," 6,666 "," 6,666 "," 21,429 ",16.08,"$60K-$80K","26-50","within3km",562
"74","94130",1453,"1012","2.71",0,80959,37.820921,-122.368742,"SANFRANCISCO"," 1,613 "," 6,269 "," 6,269 "," 6,269 "," 15,931 ",13.05,"$80K-$100K","26-50","within3km",43
"75","94131",27897,"14308","2.01",489500,76044,37.743821,-122.440008,"SANFRANCISCO"," 13,032 "," 5,672 "," 5,672 "," 5,672 "," 18,662 ",14.66,"$60K-$80K","126-150","within3km",1204
"76","94132",26291,"10180","2.51",408100,55000,37.723071,-122.478381,"SANFRANCISCO"," 7,371 "," 5,632 "," 5,632 "," 5,632 "," 17,902 ",13.21,"$40K-$60K","101-125","within3km",653
"77","94133",26827,"14714","1.97",937500,40990,37.800497,-122.409117,"SANFRANCISCO"," 39,894 "," 3,747 "," 3,747 "," 3,747 "," 8,641 ",7.08,"$40K-$60K","200+","within3km",1090
"78","94134",40134,"11001","3.71",287600,54342,37.720541,-122.408801,"SANFRANCISCO"," 17,204 "," 6,446 "," 6,446 "," 6,446 "," 20,459 ",14.45,"$40K-$60K","126-150","within3km",839
