"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","incomelevels","stoplevels","distance","number_of_stops"
"709","91203",14479,"5533","2.65",210400,32350,34.153091,-118.265454,"LOSANGELES"," 15,913 "," 5,401 "," 5,401 "," 5,401 "," 17,355 ",11.92,"$0-$40K","26-50","within3km",240
"710","91204",16997,"5623","2.98",216900,32339,34.134298,-118.260161,"LOSANGELES"," 14,421 "," 5,007 "," 5,007 "," 5,007 "," 16,116 ",11.07,"$0-$40K","76-100","within3km",301
"711","91205",41381,"14520","2.88",216600,27701,34.136336,-118.241388,"LOSANGELES"," 22,836 "," 5,080 "," 5,080 "," 5,080 "," 15,731 ",10.67,"$0-$40K","26-50","within3km",362
"712","91206",31284,"13002","2.43",360300,41674,34.159713,-118.217895,"LOSANGELES"," 5,900 "," 5,668 "," 5,668 "," 5,668 "," 19,714 ",13.81,"$40K-$60K","0-25","within3km",153
"713","91207",9852,"4030","2.5",442400,62347,34.168028,-118.243022,"LOSANGELES"," 2,237 "," 7,855 "," 7,855 "," 7,855 "," 26,282 ",18.67,"$60K-$80K","0-25","within3km",152
"714","91208",16909,"6673","2.58",392400,76034,34.191114,-118.230854,"LOSANGELES"," 1,942 "," 8,512 "," 8,512 "," 8,512 "," 28,405 ",20.5,"$60K-$80K","0-25","within3km",60
"715","91214",29101,"10521","2.81",287700,64843,34.23024,-118.24536,"LOSANGELES"," 4,572 "," 8,310 "," 8,310 "," 8,310 "," 27,252 ",19.28,"$60K-$80K","0-25","within3km",53
"716","91301",25302,"8648","2.97",375600,88725,34.144523,-118.760382,"LOSANGELES"," 1,003 "," 11,368 "," 11,368 "," 11,368 "," 33,755 ",24.22,"$80K-$100K","0-25","within3km",36
"717","91302",23644,"8849","2.76",587700,93378,34.134741,-118.656723,"LOSANGELES","817"," 10,559 "," 10,559 "," 10,559 "," 30,913 ",22.7,"$80K-$100K","0-25","within3km",14
"718","91303",23508,"7758","3.11",168000,36769,34.19718,-118.60038,"LOSANGELES"," 10,968 "," 6,184 "," 6,184 "," 6,184 "," 18,031 ",12.4,"$0-$40K","26-50","within3km",271
"719","91304",49226,"16980","2.93",248200,48052,34.218228,-118.627503,"LOSANGELES"," 5,183 "," 7,811 "," 7,811 "," 7,811 "," 22,538 ",15.67,"$40K-$60K","0-25","within3km",101
"720","91306",43846,"13951","3.19",188600,49064,34.2096,-118.5741,"LOSANGELES"," 10,520 "," 8,210 "," 8,210 "," 8,210 "," 23,948 ",16.51,"$40K-$60K","0-25","within3km",238
"721","91307",23622,"8192","2.88",256100,74072,34.20192,-118.66098,"LOSANGELES","982"," 10,741 "," 10,741 "," 10,741 "," 31,764 ",22.41,"$60K-$80K","0-25","within3km",47
"722","91311",35317,"13541","2.61",261200,62270,34.255102,-118.597553,"LOSANGELES"," 1,187 "," 8,591 "," 8,591 "," 8,591 "," 27,097 ",19.14,"$60K-$80K","26-50","within3km",101
"723","91316",27595,"13101","2.16",331800,49131,34.16304,-118.515,"LOSANGELES"," 4,076 "," 6,253 "," 6,253 "," 6,253 "," 19,751 ",14.2,"$40K-$60K","0-25","within3km",140
"724","91321",30727,"10598","2.94",215100,49979,34.380013,-118.520234,"LOSANGELES"," 1,592 "," 7,255 "," 7,255 "," 7,255 "," 23,568 ",16.38,"$40K-$60K","0-25","within3km",0
"725","91324",25731,"9052","2.89",243400,49961,34.240441,-118.548924,"LOSANGELES"," 5,919 "," 7,461 "," 7,461 "," 7,461 "," 22,042 ",15.45,"$40K-$60K","26-50","within3km",202
