"","ZipCode","Population","HouseholdsPerZipCode","PersonsPerHousehold","AverageHouseValue","IncomePerHousehold","Latitude","Longitude","CountyName","popden","electricity(kWh)","Nat.Gas(cu.ft.)","FUELOIL(gallons)","Vehiclemilestraveled","Transport(tCO2e/yr)","within1km","within2km","within3km","incomelevels","stoplevels"
"129","90715",20884,"6363","3.36",182700,48927,33.841526,-118.078931,"LOSANGELES"," 12,327 "," 7,108 "," 7,108 "," 7,108 "," 25,026 ",17.12,24,75,131,"$40K-$60K","0-25"
"130","90716",14850,"3621","4.24",140300,35153,33.853611,-118.133056,"LOSANGELES"," 15,593 "," 6,590 "," 6,590 "," 6,590 "," 21,264 ",14.01,47,146,294,"$0-$40K","26-50"
"131","90717",21060,"8693","2.49",261500,42182,33.794247,-118.316838,"LOSANGELES"," 10,734 "," 6,053 "," 6,053 "," 6,053 "," 20,692 ",14.42,46,130,207,"$40K-$60K","26-50"
"132","90723",55305,"14605","3.93",154300,36769,33.89799,-118.160755,"LOSANGELES"," 11,778 "," 6,200 "," 6,200 "," 6,200 "," 20,184 ",13.5,45,136,243,"$0-$40K","26-50"
"133","90731",58622,"22468","2.63",238900,35910,33.74352,-118.27944,"LOSANGELES"," 7,634 "," 5,673 "," 5,673 "," 5,673 "," 17,677 ",12.26,44,124,211,"$0-$40K","26-50"
"134","90732",21264,"9553","2.39",299100,63614,33.7639,-118.3068,"LOSANGELES"," 5,532 "," 7,042 "," 7,042 "," 7,042 "," 24,235 ",17.49,10,53,149,"$60K-$80K","0-25"
"135","90744",53308,"14583","3.8",160400,30259,33.790817,-118.252989,"LOSANGELES"," 5,331 "," 5,776 "," 5,776 "," 5,776 "," 18,356 ",12.14,34,94,182,"$0-$40K","26-50"
"136","90745",55473,"15182","3.74",177700,50610,33.82608,-118.26222,"LOSANGELES"," 6,896 "," 7,346 "," 7,346 "," 7,346 "," 26,187 ",17.8,21,49,119,"$40K-$60K","0-25"
"137","90746",25561,"7744","3.27",197600,59390,33.859611,-118.255171,"LOSANGELES"," 4,337 "," 8,666 "," 8,666 "," 8,666 "," 26,521 ",18.5,11,95,168,"$40K-$60K","0-25"
"138","90802",38419,"20364","2",144700,25860,33.769616,-118.192571,"LOSANGELES"," 5,866 "," 4,100 "," 4,100 "," 4,100 "," 12,198 ",8.65,143,294,458,"$0-$40K","126-150"
